train_loss,train_accuracy,test_loss,test_accuracy,long_loss,long_accuracy
0.088221796,0.30614376,0.07289705,0.32398438,0.07229346,0.29765937
0.07124381,0.32360312,0.070843615,0.31859377,0.07107852,0.304425
0.07049091,0.32634372,0.07057308,0.32459375,0.07089029,0.30630937
0.07042804,0.3257219,0.070543855,0.31982815,0.07085539,0.302725
0.07033226,0.3278062,0.07048821,0.32426563,0.07084424,0.3028281
0.07028184,0.32722503,0.0704725,0.32615626,0.070752084,0.30516875
0.070258886,0.32715625,0.07041683,0.3218125,0.07085002,0.3050625
0.07023674,0.32656565,0.07037825,0.3205625,0.07083712,0.30562186
0.07020834,0.32802814,0.07041511,0.326,0.07074042,0.3052625
0.070187904,0.3240719,0.070272,0.32581252,0.07079162,0.3073781
0.07010384,0.3275375,0.07029889,0.32270315,0.070666835,0.30745313
0.07013474,0.32670936,0.07031656,0.32975,0.07064818,0.31125
0.07011505,0.32551253,0.07028953,0.328,0.07058737,0.3080125
0.07003794,0.32917187,0.07014819,0.32462502,0.07070494,0.30772185
0.0700211,0.3267531,0.07022428,0.32615626,0.07061198,0.30482188
0.0699646,0.32949063,0.07026942,0.32082814,0.070519105,0.3064125
0.07000133,0.3275781,0.070111856,0.32176563,0.07058111,0.3064875
0.06998927,0.32804376,0.07007883,0.32318753,0.070603706,0.30335936
0.07000954,0.32761875,0.070404924,0.32603127,0.07089549,0.30972186
0.070064515,0.33097497,0.070170686,0.32495314,0.07036029,0.30967188
0.069854334,0.3280156,0.070340134,0.3250625,0.07042716,0.30373123
0.06983457,0.3281031,0.06995123,0.32621875,0.07039123,0.30620626
0.069715664,0.32769996,0.069963336,0.32462502,0.07037155,0.308325
0.06972613,0.327575,0.06978867,0.31828126,0.0705113,0.30823436
0.06960115,0.32911563,0.069844216,0.32015628,0.07030965,0.30484375
0.06950074,0.3278656,0.069599345,0.3225469,0.070327856,0.30557185
0.06943603,0.32686248,0.06962797,0.31393752,0.07041167,0.30774686
0.06941822,0.32618123,0.06949518,0.31843752,0.07035722,0.30554375
0.069316216,0.32595003,0.069463745,0.32073438,0.07034787,0.30793437
0.069228195,0.32698438,0.06947344,0.32340628,0.07019076,0.30653125
0.0691815,0.32648125,0.0693226,0.3201719,0.07017793,0.3057125
0.06920075,0.32520938,0.06929412,0.31676564,0.07012616,0.308725
0.069056906,0.32604998,0.06924227,0.32307813,0.07004006,0.31212187
0.06918356,0.32328752,0.06914814,0.31832814,0.07020368,0.3090375
0.06896049,0.3245625,0.06924969,0.31703126,0.07009376,0.307075
0.068929285,0.32631248,0.06930036,0.32039064,0.07020464,0.3141375
0.0687612,0.3231906,0.06885305,0.32089064,0.070137896,0.30806875
0.06864972,0.32369065,0.0688352,0.31209376,0.070058465,0.30831873
0.06858352,0.3254656,0.068741545,0.32190627,0.069924824,0.31165937
0.06855181,0.32884997,0.06888715,0.314375,0.06996289,0.30790937
0.06840063,0.3286156,0.06867269,0.3208594,0.07003735,0.31184998
0.068457104,0.3326,0.06904554,0.32357815,0.06992795,0.30694062
0.06835835,0.33134377,0.0684446,0.3345,0.069933936,0.31801873
0.068138175,0.32551876,0.06826226,0.32257813,0.06981372,0.30749688
0.06803961,0.33326247,0.06820839,0.3382969,0.069798,0.31552812
0.06791501,0.333175,0.06798473,0.34551564,0.069795564,0.3160031
0.06779479,0.3343875,0.06821234,0.31382814,0.06970349,0.30903125
0.067789346,0.34304997,0.06770472,0.33653125,0.06972764,0.31458125
0.06759594,0.34452498,0.06761342,0.3493125,0.06971975,0.31516248
0.06732389,0.35071874,0.06742426,0.35237503,0.06952489,0.32193124
0.067224935,0.35750318,0.06727949,0.35070315,0.06945987,0.3142031
0.06707734,0.35999376,0.06713029,0.3594844,0.06929212,0.31445625
0.06682989,0.37032506,0.06695044,0.37887502,0.06920512,0.32540625
0.066720955,0.3716219,0.0667602,0.36553127,0.0688776,0.31794998
0.066517375,0.3796406,0.06683837,0.37639064,0.06910275,0.321575
0.06625698,0.38313746,0.06642853,0.38559377,0.06860837,0.33549374
0.06613703,0.3822656,0.06608527,0.38170314,0.06838691,0.3297781
0.06601933,0.38696876,0.06619038,0.385625,0.06845806,0.3318031
0.065986276,0.38274062,0.06595582,0.38625002,0.06830569,0.33304998
0.06580298,0.38611558,0.06580233,0.38606253,0.0681198,0.3362375
0.06560658,0.3898875,0.06571618,0.38865626,0.06807974,0.33238438
0.065534346,0.38762814,0.065687485,0.38779688,0.068042085,0.33899686
0.06546182,0.38519683,0.06540292,0.38815627,0.06797001,0.3419406
0.06538784,0.38937813,0.0653765,0.38182813,0.0679731,0.3388406
0.06525355,0.38857183,0.06544175,0.38271877,0.06801235,0.3330906
0.065127276,0.3925063,0.06530527,0.38620314,0.067949146,0.3366
0.06504912,0.39095622,0.065099545,0.3881094,0.0679109,0.3359375
0.06493709,0.39067188,0.064970024,0.38789064,0.067717075,0.34358123
0.06488471,0.39126876,0.065010615,0.38139063,0.06794321,0.3325125
0.06478477,0.3927438,0.06462941,0.38445315,0.06766242,0.33826563
0.06478033,0.39169377,0.06474563,0.39034376,0.06764836,0.34481874
0.064593986,0.39127812,0.06445604,0.38801566,0.06760947,0.33644062
0.06441377,0.39336562,0.064545035,0.38357815,0.06751958,0.3399
0.064506575,0.39230624,0.06429392,0.39234376,0.06745927,0.33950624
0.06413912,0.3953875,0.06395681,0.3994844,0.06747669,0.3404125
0.06405033,0.3994281,0.064169236,0.3888125,0.06725689,0.34395
0.06398244,0.39879376,0.0637847,0.39526564,0.06725629,0.34395936
0.063819036,0.39975938,0.06382858,0.39840627,0.06719126,0.34568438
0.06382185,0.40171245,0.063976035,0.40226564,0.067174226,0.34914687
0.06382289,0.40127185,0.06362125,0.40021876,0.067163445,0.34585312
0.06374639,0.40166247,0.06379451,0.39642188,0.067084834,0.3486875
0.06349844,0.40428746,0.06360911,0.3952969,0.06688282,0.34774062
0.06338189,0.4036469,0.06341604,0.40171877,0.06693808,0.3518625
0.063353874,0.40625626,0.063350424,0.40562502,0.06688941,0.35131562
0.06323353,0.40155306,0.06344076,0.40351564,0.066947244,0.3461031
0.06306355,0.40480626,0.062879495,0.402,0.06667307,0.34998748
0.06303319,0.4056,0.06289137,0.39595315,0.066685945,0.35157812
0.063125946,0.4061625,0.06304299,0.40143752,0.066780955,0.35230938
0.06291357,0.40625942,0.0627408,0.3999219,0.066608794,0.34955624
0.06284854,0.40790626,0.062465012,0.40665627,0.066518664,0.35379687
0.06262358,0.4131312,0.062354773,0.408625,0.066507496,0.35828435
0.062428232,0.41023442,0.06254101,0.40826565,0.06655176,0.35336873
0.06248158,0.41183436,0.062415075,0.40792188,0.0663462,0.35740936
0.062339965,0.41390315,0.06225048,0.40614066,0.06629079,0.3608875
0.062290035,0.41366878,0.062113833,0.4115,0.06631096,0.35793436
0.061977662,0.414825,0.06175228,0.41570315,0.06628556,0.35805
0.061976597,0.42024055,0.06258082,0.41156253,0.06653257,0.360275
0.062073745,0.41775313,0.061943695,0.41375002,0.06628904,0.35982186
0.061696976,0.42354378,0.061598107,0.41432816,0.066146076,0.358275
0.061447427,0.42500627,0.06143116,0.41901565,0.06618389,0.35874373
0.06147714,0.4274468,0.061339702,0.42268753,0.06606275,0.3623625
0.061409358,0.42683128,0.061646286,0.42884377,0.06607921,0.3651875
0.061192278,0.4306594,0.061372392,0.42196876,0.06609236,0.3648625
0.0612364,0.43199372,0.061448094,0.42295316,0.066033036,0.3636156
0.06116107,0.43177497,0.06070837,0.43600002,0.06593187,0.36214998
0.061031785,0.43324372,0.06095896,0.42721877,0.06577313,0.362975
0.060666576,0.4366969,0.060306184,0.4363594,0.065699324,0.37115312
0.060447562,0.4398812,0.06036843,0.43254688,0.06569246,0.36580625
0.060330648,0.44026563,0.060261585,0.4401094,0.06557288,0.3686375
0.060195513,0.44400308,0.0600454,0.45187503,0.06543959,0.3700125
0.06007734,0.45004684,0.060307488,0.4404844,0.065581396,0.3697406
0.059986815,0.4472124,0.059977125,0.4477344,0.065097965,0.37719688
0.059762944,0.454275,0.059547275,0.45268753,0.06511098,0.37339061
0.059790064,0.45422497,0.0596555,0.44978127,0.06535448,0.37357187
0.059667416,0.45432812,0.059599828,0.45089066,0.065161474,0.37394062
0.0595211,0.4572562,0.059496414,0.45253128,0.0652331,0.37660623
0.05943876,0.45964366,0.0592202,0.46407816,0.06502847,0.3799281
0.059196506,0.46195307,0.059081092,0.46462503,0.06484313,0.37693748
0.058972783,0.46339062,0.059425958,0.45473439,0.064882256,0.38064376
0.058918744,0.46586877,0.058688868,0.47051564,0.06473252,0.38148123
0.05854014,0.47017503,0.058838088,0.46390626,0.06494797,0.378
0.05863178,0.47083747,0.058615774,0.4675469,0.06483441,0.38186562
0.058409497,0.47120312,0.058435466,0.4735,0.06475529,0.3779906
0.05819319,0.4775812,0.058175925,0.47257814,0.06470726,0.38082498
0.058155723,0.47655618,0.058621593,0.46740627,0.06471982,0.38346875
0.05808516,0.48301256,0.057932317,0.47520316,0.06454936,0.38663125
0.057680435,0.48544684,0.057921566,0.4846094,0.06458333,0.38442498
0.057507157,0.48549056,0.057985198,0.47821876,0.064627185,0.3907375
0.057511058,0.48590934,0.057447158,0.48171878,0.06435547,0.38634375
0.057102308,0.49033123,0.05736232,0.4787969,0.064181,0.38945937
0.056963824,0.49382818,0.057262085,0.48312503,0.064520955,0.3852406
0.057177242,0.49184063,0.0575591,0.4802969,0.064588584,0.38800624
0.057032946,0.49695626,0.058233425,0.47003126,0.06443484,0.38968438
0.056794222,0.49717495,0.056695614,0.4906563,0.06382801,0.3955
0.056369692,0.5012875,0.056634363,0.49121878,0.06379176,0.39572498
0.056327984,0.50037503,0.05690716,0.48237503,0.06404821,0.3926625
0.056121144,0.50126565,0.056659523,0.48378128,0.063928716,0.39809686
0.05587879,0.5083156,0.05648901,0.5037969,0.06414686,0.38946563
0.055926148,0.5025062,0.05583527,0.49414065,0.06332087,0.40040624
0.0552612,0.50649065,0.055684853,0.49792188,0.06329001,0.39792812
0.05518173,0.5095062,0.0555851,0.5025157,0.06406783,0.3969531
0.05520342,0.5108906,0.05582745,0.5063594,0.063592665,0.40021873
0.055113815,0.5118375,0.055287905,0.50301564,0.06334135,0.4040125
0.054950733,0.5167656,0.055344697,0.5023906,0.06294416,0.40471563
0.054705802,0.51311564,0.05493406,0.51309377,0.06299125,0.40767187
0.054118603,0.51900315,0.054492712,0.5085469,0.06272234,0.40344062
0.053812608,0.52193755,0.0548967,0.5066875,0.06317879,0.4042
0.054076266,0.5188094,0.05454399,0.50881255,0.06248577,0.41294998
0.053907204,0.5212624,0.054634217,0.51157814,0.062916026,0.4088906
0.054111127,0.5240906,0.05406168,0.51100004,0.06271404,0.41358748
0.05319805,0.52933127,0.053524274,0.5147344,0.062751226,0.41344687
0.052920032,0.5313062,0.05316164,0.5223594,0.06304277,0.41297498
0.052861404,0.5320532,0.053134236,0.51834375,0.06176263,0.41825312
0.05271533,0.5327749,0.053382482,0.5212813,0.062370393,0.41786873
0.05253957,0.5367563,0.053021017,0.5193282,0.063228875,0.41709998
0.052084655,0.5376218,0.052480128,0.5214219,0.06283737,0.41681874
0.0521312,0.53695,0.052187532,0.53578126,0.06172033,0.42137498
0.053789973,0.52783436,0.052559208,0.52939063,0.06199747,0.42292187
0.052295383,0.5409469,0.052297026,0.5345625,0.062443294,0.4201906
0.0514625,0.5478281,0.052108653,0.53875005,0.062542185,0.42487812
0.05126546,0.54894376,0.05149473,0.5448125,0.06297407,0.4267781
0.05096836,0.55142504,0.051243626,0.5402969,0.06252756,0.4278531
0.050804254,0.55439067,0.051230278,0.54782814,0.06386015,0.42113125
